;Level;Stance;Claim;Votes;Comments;Depth
0;1;None;Gender restrictions on nipple showing in the US should be eliminated.;['11', '3', '5', '19', '85'];;0
1;1.1;pro;Uncensoring nipples would be beneficial to society as a whole.;['3', '0', '2', '1', '2']; 2;1
2;1.1.1;pro;Normalising female nudity in society as a whole would put a stop to the hypocrisy inherent in allowing and accepting toplessness in popular and high culture, but not in wider society.;['0', '0', '2', '0', '0']; 18;2
3;1.1.1.1;pro;Museums across the globe feature various statues and paintings with true-to-life topless or nude women, even though they are public, family institutions.;['1', '2', '9', '15', '9']; ;3
4;1.1.1.1.1;pro;Ten of the world's most impactful nude paintings feature women and are on public display in various museums.;['1', '1', '4', '8', '0']; ;4
5;1.1.1.1.2;pro;The Birth of Venus and La maja desnuda are both depictions of topless women deemed acceptable in popular and high culture.;['0', '0', '2', '0', '0']; ;4
6;1.1.1.1.3;con;Some museums implement age restrictions when their exhibitions include nudity or images considered pornographic.;['0', '0', '2', '0', '0']; ;4
7;1.1.1.1.3.1;pro;The Sex Machines Museum in Prague does not admit anyone under the age of 18.;['0', '1', '6', '6', '0']; 8;5
8;1.1.1.2;pro;Social media sites are currently highly hypocritical with regards to their allowance or censorship of female nipples.;['0', '0', '1', '1', '0']; 2;3
9;1.1.1.2.1;pro;Pornographic or violent images of women’s bodies that appeal to the male gaze are often deemed acceptable by social media, while women who show their own bodies have historically been shamed or censored.;['0', '0', '2', '0', '0']; 29;4
10;1.1.1.2.1.1;pro;Despite Facebook guidelines against hate speech, many posts promoting or depicting violence against women have been allowed to remain.;['0', '2', '3', '8', '1']; ;5
11;1.1.1.2.1.2;con;Without a qualifying argument, this is as much a reason for the banning of pornographic and violent portrayals of the female body as it is for the uncensoring of female nudity.;['0', '0', '0', '1', '2']; ;5
12;1.1.1.2.2;pro;Social media sites police female-presenting people's posts and often remove them if nipples are shown, yet posts of art depicting nude figures are typically accepted.;['0', '0', '2', '0', '0']; 19;4
13;1.1.1.2.2.1;con;Some social media platforms have changed their policies to allow non-sexualised images of nipples in wider society, such as images of breastfeeding.;['0', '0', '2', '0', '0']; ;5
14;1.1.1.2.3;pro;Social media sites such as Facebook have allowed airbrushed images of almost nude female celebrities and models to remain whilst simultaneously censoring raw and realistic images of similarly clad women in labour.;['0', '0', '2', '0', '0']; ;4
15;1.1.1.2.4;con;While this highlights inconsistencies in social media policies, it doesn't necessarily mean that there should be no restrictions at all.;['0', '0', '2', '0', '0']; ;4
16;1.1.1.2.5;con;Anecdotes from many different artists, photographers, and fashion designers around the world suggest that social media sites fairly consistently censor female nipples, even when they form part of an artistic or cultural expression.;['0', '0', '2', '0', '0']; 3;4
17;1.1.1.2.5.1;pro;"After posting a photograph on Facebook of a tribal woman in traditional dress, an award-winning photographer had the post removed since the image was deemed to have breached the site's ""community standards"".";['0', '0', '2', '0', '0']; 2;5
18;1.1.1.2.5.2;pro;Facebook and Instagram have been called upon by the National Coalition Against Censorship to relax nipple restrictions for artistic work.;['0', '0', '1', '1', '0']; ;5
19;1.1.1.2.5.3;con;YouTube changed its censorship policies to allow female nipples that it deems are not being depicted in a 'sexualised' manner, thereby uncensoring some artistically-portrayed nipples.;['0', '0', '2', '0', '0']; ;5
20;1.1.1.3;pro;Despite nipple showing being increasingly common in haute couture, this has not become a commercialised fashion trend in the same way that other runway styles have, suggesting that nipple exposure is socially accepted as part of high-end fashion, but not high-street fashion.;['4', '3', '17', '11', '1']; ;3
21;1.1.1.4;con;It is not hypocritical to allow certain material to be depicted in art, entertainment, and in popular and high culture but not in wider society. Many themes such as sexual assault, violence, and drug-taking are explored through such mediums, yet it is nonetheless understood that these are unacceptable behaviours in the real world.;['0', '1', '1', '0', '0']; 20;3
22;1.1.1.4.1;pro;Some museums include depictions of pornographic behaviors, which, while legal, are considered unacceptable in most liberal democracies but are broadly accepted when depicted as a form of art.;['0', '1', '1', '0', '0']; 9;4
23;1.1.1.4.2;con;Acts such as murder and rape are not acceptable in society as they inflict clear, unequivocal harm. In contrast, any perceived harm inflicted by female toplessness is entirely subjective and socially constructed.;['0', '0', '4', '8', '3']; 9;4
24;1.1.1.5;con;In many cases, censorship of the female nipple does exist in art and popular culture.;['8', '12', '9', '3', '2']; ;3
25;1.1.1.5.1;pro;Most countries allow nudity in magazines, but have many restrictions on where and how such magazines are displayed and sold to prevent younger members of the public accessing them.;['0', '0', '2', '0', '0']; 4;4
26;1.1.1.5.2;pro;Although most visual art is protected under the First Amendment, objections often arise when considering works involving nude content.;['0', '0', '2', '0', '0']; ;4
27;1.1.1.5.3;con;Some TV stations censor nude artwork and some do not or do it to a lesser extent, highlighting that rules are arbitrary and ineffective.;['0', '1', '5', '9', '1']; ;4
28;1.1.1.5.4;con;The majority of nipple censorship in art and popular culture tends only to be done when said art is advertised on social media to the general public, rather than in museums, galleries, and artistic publications or productions.;['0', '0', '2', '0', '0']; 1;4
29;1.1.1.5.4.2;con;An Australian art periodical covered the nipples of a nude, pregnant woman painted by the artist Yuskavage.;['0', '1', '1', '0', '0']; ;5
30;1.1.2;pro;Censoring only female nipples contributes to gender inequality (p. 430), which causes social harm for all.;['0', '0', '1', '1', '0']; 9;2
31;1.1.2.1;pro;Restricting nipple-showing for female-presenting individuals and not others undermines the Universal Declaration of Human Rights, which asserts the equal rights and freedoms of all regardless of sex, gender, or any other characteristic.;['6', '5', '9', '14', '10']; 5;3
32;1.1.2.1.1;pro;According to Kant's Formula of Humanity, when a rational being is objectified and deprived of the freedom to make autonomous choices, their humanity and dignity are violated (pp. 6-7).;['0', '0', '1', '1', '0']; ;4
33;1.1.2.1.2;con;Human dignity and freedom are also cornerstones of the UDHR. Since female nipple-showing may violate the right to human dignity and freedom, censoring female nipples may in fact uphold the UDHR.;['0', '1', '1', '2', '2']; ;4
34;1.1.2.1.2.1;pro;According to Rawls' theory of justice, the banning of female nipples - and thus the curtailing of female freedom – can be justified where it is deemed that their exposure would jeopardise public order and, in turn, the freedoms of everyone (p. 4).;['0', '0', '2', '0', '0']; 14;5
35;1.1.2.2;pro;Censoring female nipples may contribute to the perpetuation of gendered stereotypes, which are harmful on both sides of the gender binary.;['0', '0', '0', '0', '0']; ;3
36;1.1.2.2.1;pro;A WHO study of 41 European countries has shown that men’s health is worse in countries with lower levels of gender equality.;['0', '0', '1', '1', '0']; 2;4
37;1.1.2.3;con;This does not necessitate lifting restrictions on female: gender equality could just as easily be achieved by placing restrictions on all public nipple-showing.;['1', '0', '2', '0', '1']; 10;3
38;1.1.3;pro;Uncensoring the female nipple will spark greater awareness and understanding of the physical body from a young age, which is beneficial to healthy childhood development.;['0', '0', '2', '0', '0']; 3;2
39;1.1.3.1;pro;Children are more likely to display normal, non-intrusive sexual behaviours when raised in social environments that accept nudity and do not enforce physical privacy and modesty.;['0', '0', '1', '1', '0']; ;3
40;1.1.3.2;pro;Uncensoring nipples is likely to trigger earlier adult-to-child education on the non-sexual, biological function of breasts.;['0', '0', '8', '7', '3']; 6;3
41;1.1.3.2.1;pro;Children who are taught about the non-sexual, biological function of breasts by a mature adult are arguably less likely to objectify, shame, or be ashamed of breasts and nipples later in life.;['0', '0', '2', '0', '0']; ;4
42;1.1.3.2.2;con;Overemphasis on the biological function of breasts could be considered reductive and inaccurate, since it ignores the idea that breasts can equally - and sometimes only – serve a sexual purpose.;['0', '0', '2', '0', '0']; ;4
43;1.1.3.3;con;Teaching a child to respect and love their body can be done without promoting the liberation of a woman's body part.;['1', '11', '4', '2', '0']; ;3
44;1.1.3.3.1;pro;Everyday parenting practices such as avoiding the use of moralising language surrounding food and bodyweight, focusing on mental rather than physical attributes, and demonstrating a healthy relationship with food, exercise, and body image can make significantly positive impacts on a child's view of their body.;['0', '0', '1', '1', '0']; ;4
45;1.1.4;con;Sudden transitions from one status quo to another can elicit collective cultural shock (p. 3), which may cause social backlash and resistance.;['0', '1', '1', '0', '0']; 9;2
46;1.1.4.1;pro;Even in seemingly forward thinking communities, topless female-presenting bodies are still considered shocking.;['0', '0', '2', '0', '0']; ;3
47;1.1.4.2;con;It is not a given that permitting nipple exposure would lead to a significantly greater amount of nipple showing in public.;['0', '0', '1', '1', '0']; ;3
48;1.1.4.2.1;pro;In countries where restrictions do not exist, toplessness is neither expected nor universally practised: some women decide to go topless in public, while others choose not to do it at all.;['0', '0', '3', '0', '1']; 4;4
49;1.1.5;con;Uncensoring nipples may de-sexualize them, which could be detrimental to all those for whom female sexuality is useful or beneficial.;['0', '1', '1', '0', '0']; 2;2
50;1.1.5.1;pro;Sexual desire is important in sustaining romantic relationships since it promotes sexual intimacy, which in turn helps to build better bonds and stability between two people.;['0', '0', '2', '0', '1']; 8;3
51;1.1.5.2;pro;Removing restrictions on exposing nipples could be harmful to those who work in the sex industry, since many sex workers may rely on the sexualization of breasts to make money.;['0', '2', '0', '0', '0']; 24;3
52;1.1.5.2.1;pro;Research and historical anecdotes both indicate that sex workers with larger breasts often make more money. Insofar as this shows the power of the sexualisation of breasts, if breasts are desexualised via the uncensoring of nipples, this could have a negative impact on the earnings of sex workers.;['0', '0', '1', '1', '0']; 2;4
53;1.1.5.2.2;pro;"In Colombia, interviews with sex workers suggest that many see breasts as a ""competitive weapon"", implying that they use the sexualisation of breasts to maximise their earning potential.";['0', '1', '1', '0', '0']; ;4
54;1.1.5.2.3;con;Experienced sex workers opine that their clients have a wide variety of physical preferences, suggesting that financial success in this industry does not rely on the sexualisation of breasts or nipples in particular.;['0', '0', '1', '1', '0']; ;4
55;1.1.5.3;con;Seeing, but not being able to touch, exposed breasts in public may lead to increased sexual anticipation and desirability surrounding the female nipple.;['0', '0', '2', '0', '0']; ;3
56;1.1.5.3.1;pro;According to the forbidden fruit effect, when humans are not allowed to access something that is off-limits, their desire for it increases.;['0', '0', '1', '1', '0']; ;4
57;1.1.5.3.2;con;Most psychoanalytic models and theories regard desire and satisfaction as linked to fantasy and anticipatory imagination, both of which are reduced in a context where public toplessness is the norm.;['0', '0', '2', '0', '0']; 3;4
58;1.1.5.3.3;con;A stimulus provokes a lesser emotional response with repeated exposure. Thus, repeatedly seeing women's breasts and nipples in public has the potential to reduce others' biological response to them as sexual stimuli.;['0', '0', '2', '0', '0']; 3;4
59;1.1.5.3.3.1;pro;The sexual response is built on anticipation, which spikes a person's dopamine levels. Overexposure to eroticized features may decrease anticipation and the corresponding dopamine spike.;['0', '0', '2', '0', '0']; 2;5
60;1.1.5.3.3.2;con;"Eliminating nipple restrictions has the potential to ""re-sexualize"" breasts, since it brings all the attention straight towards a woman's chest.";['0', '0', '2', '0', '0']; 4;5
61;1.1.5.4;con;Given historical precedents, it seems likely that the uncensoring of the female nipple would simply lead to other body parts being eroticised to compensate, or else that the female nipple would continue to be arousing only in specific, deliberately sexual contexts.;['0', '0', '0', '0', '0']; 4;3
62;1.1.5.4.1;pro;"Some people find hands sexually attractive in particular contexts; the female nipple may emulate this path and have context-bound sexualisation.";['0', '0', '0', '0', '0']; ;4
63;1.1.5.4.2;pro;The mini skirt originally caused great scandal when introduced, but is now normal in society. People are still able to find legs attractive despite this.;['0', '0', '0', '0', '0']; ;4
64;1.2;pro;Censoring nipples is oppressive to those who identify as women and those assigned female at birth.;['12', '11', '11', '22', '53']; 11;1
65;1.2.1;pro;Due to nipple censoring, people are often discriminated against for breastfeeding in public, which can have negative secondary effects.;['0', '0', '1', '1', '0']; 4;2
66;1.2.1.2;pro;People can be deterred from breastfeeding due to feeling marginalised or shamed in public. As such, nipple censoring may negatively impact both infant and maternal health.;['0', '0', '1', '1', '0']; 4;3
67;1.2.1.2.1;pro;People are often forced to breastfeed infants or express their milk in unsanitary conditions, such as in public bathroom stalls, because of stigma and a lack of suitable facilities elsewhere.;['0', '0', '1', '1', '0']; 5;4
68;1.2.1.2.1.1;pro;A survey found that a third of breastfeeding parents pumped milk in unsanitary or otherwise unsuitable conditions at work due to inadequate facilities, leading to 30% of these parents stopping earlier than they would have otherwise done.;['0', '0', '1', '1', '0']; ;5
69;1.2.1.2.1.2;con;There are apps to show nursing parents clean, quiet, and safe places to breastfeed where they will not face negative feedback.;['3', '7', '4', '0', '0']; ;5
70;1.2.1.2.1.2.1;pro;Mamava, Pumpspotting, Feed Finder, and Moms Pump Here are examples of free smartphone apps that act as locators of safe public spaces in which to breastfeed.;['0', '0', '2', '0', '0']; ;6
71;1.2.1.2.1.2.2;con;"Using ""solutionist technology"" rather than radically solving the root cause of the problem - negative societal attitudes towards breastfeeding - is a conservative approach that ultimately preserves the current problematic system instead of reforming it.";['0', '0', '1', '1', '1']; 4;6
72;1.2.1.2.1.2.3;con;Apps are not accessible for all those who breastfeed.;['0', '0', '2', '0', '0']; ;6
73;1.2.1.2.1.2.3.1;pro;Many women might not be able to afford a smartphone, with single mothers particularly at risk of living in poverty.;['0', '0', '2', '0', '0']; 5;7
74;1.2.1.2.1.2.3.2;pro;A significantly larger percentage of those living in urban or suburban areas own a smartphone than those living in rural areas, meaning these apps aren't as likely to provide safe breastfeeding environments for rural women.;['0', '1', '1', '0', '0']; 2;7
75;1.2.1.2.1.2.3.2.1;con;Statistics show that the disparity between smartphone ownership in urban, suburban, and rural areas in the US is steadily reducing.;['0', '6', '7', '0', '0']; ;8
76;1.2.1.2.2;pro;Underfeeding can cause unnecessary health issues for a baby, which could be an issue in breastfed babies who refuse to feed from a bottle.;['0', '0', '1', '1', '0']; ;4
77;1.2.1.2.2.1;pro;If underfed, some evidence suggests that babies may develop a variety of health conditions that can lead to brain injury.;['0', '1', '7', '7', '0']; ;5
78;1.2.1.2.2.2;con;A study on babies admitted to hospital due to not getting enough breastmilk showed that the infants very rarely had any long-term health issues as a result.;['0', '0', '1', '1', '0']; ;5
79;1.2.1.2.3;pro;There are many health benefits associated with breastfeeding as compared to infant formula.;['0', '0', '2', '0', '0']; ;4
80;1.2.1.2.3.1;pro;Breastfeeding has been shown to reduce incidences of post-partum depression, which is the moderate to severe depression a woman can experience after giving birth.;['0', '0', '3', '10', '0']; 6;5
81;1.2.1.2.3.2;pro;The American Academy of Pediatrics recommends breastfeeding because it is easier for babies to digest and provides complete nutrition.;['0', '0', '3', '10', '0']; ;5
82;1.2.1.2.3.3;pro;Breastfeeding has been linked with a lower risk of Sudden Infant Death Syndrome (SIDS).;['0', '0', '3', '10', '0']; ;5
83;1.2.1.2.3.4;con;This could be avoided through pumping breast milk in advance to then feed one's baby from a bottle.;['0', '0', '1', '1', '0']; 1;5
84;1.2.1.2.3.4.1;pro;Whether obtained directly from the breast or pumped and fed from a bottle, breastmilk provides perfect infant nutrition and immunity boosting properties.;['0', '0', '1', '1', '0']; ;6
85;1.2.1.2.3.4.1.1;con;Many of the health benefits associated with breastfeeding may be lost if fresh breastmilk is not obtained directly by the baby at the breast.;['0', '1', '1', '0', '0']; ;7
86;1.2.1.2.3.4.2;con;Bottle feeding may require the purchase of bottles, breast pumps, measuring devices, sterilised water, and/or formula, as well as a method of washing and sterilising each item after use. This may cause avoidable strain on both time and finances.;['0', '0', '1', '1', '0']; ;6
87;1.2.1.2.4;con;Parents can also be shamed for bottle feeding and using formula when feeding their babies in public. If nipples were uncensored, shaming surrounding bottlefeeding and formula might increase.;['0', '0', '2', '0', '0']; 7;4
88;1.2.1.2.5;con;Parents can simply cover themselves and/or their babies while nursing to avoid embarrassment or judgement from others in public.;['0', '1', '1', '0', '0']; 2;4
89;1.2.1.2.5.1;con;Using a breastfeeding cover can lead to dangerously hot conditions and life threatening breathing difficulties in infants.;['0', '0', '1', '1', '0']; ;5
90;1.2.1.2.5.2;con;Not all babies will feed under a nursing cover.;['0', '0', '1', '1', '0']; 2;5
91;1.2.1.2.6;con;There are many other reasons parents may be deterred from breastfeeding, all of which could have the same parental and infant health implications.;['1', '0', '1', '0', '0']; 3;4
92;1.2.1.3;con;Many countries have made legal allowances for breastfeeding in public, suggesting that it is unnecessary to uncensor nipples in order for this to be a protected and accepted activity.;['0', '0', '1', '1', '0']; 5;3
93;1.2.1.3.1;pro;All US states have laws that allow breastfeeding in any public or private location.;['0', '2', '5', '7', '0']; 20;4
94;1.2.1.3.2;pro;In the UK, the right to breastfeed in public is protected by law.;['0', '0', '5', '10', '0']; 19;4
95;1.2.1.3.3;pro;In the Philippines, breastfeeding in public is allowed, and breastfeeding mothers are protected by the Expanded Breastfeeding Promotion Act.;['0', '0', '5', '9', '0']; ;4
96;1.2.1.3.4;pro;The Australian Human Rights Commission has confirmed the right to breastfeed in public.;['0', '0', '4', '9', '0']; ;4
97;1.2.1.3.4.1;pro;After a member of Parliament could not combine her breastfeeding schedule with parliamentary duties, Australia’s lower house and Senate implemented a policy allowing breastfeeding on the floor.;['0', '0', '6', '7', '0']; 4;5
98;1.2.1.3.5;con;There are still reports of people in positions of power shaming breastfeeding mothers or asking them to relocate to a private space in countries where public breastfeeding is legally protected.;['0', '0', '1', '1', '0']; 12;4
99;1.2.2;pro;Censoring nipples promotes the idea that to show them would be criminal. This encourages the unfair prosecution and shaming of female-presenting bodies.;['3', '1', '5', '16', '9']; 5;2
100;1.2.2.1;pro;Women's bodies are constantly policed and shamed for how they look. This should not be extended by banning the showing of body parts solely on the basis of gender.;['0', '0', '3', '9', '1']; ;3
101;1.2.2.1.1;pro;Society already imposes sexist, contradictory standards on women: they can be slut-shamed for dressing provocatively or acting in a way that is deemed too sexual, yet also criticised for being prudish and not sexual enough.;['0', '0', '2', '0', '0']; 27;4
102;1.2.2.2;pro;Restrictions to liberty are justified when something is a threat to public order or security. Since the exposure of female-presenting nipples in public and in the media does not jeopardise the social order, their censorship is unjustified.;['0', '0', '2', '0', '0']; 6;3
103;1.2.2.3;pro;Given that female nipples are censored, revealing them in public is classed as public indecency. Since activities much more potentially harmful to public order and safety - such as having sex in public - are categorised in the same way, female nipple showing is loaded with unfair criminal stigma by association.;['0', '0', '1', '1', '0']; 6;3
104;1.2.2.4;con;Unrealistic beauty standards placed on female-presenting bodies by the media mean that many would be subjected to equal - or worse - levels of discrimination and judgment if their nipples were uncensored.;['0', '0', '1', '1', '0']; 17;3
105;1.2.2.4.1;pro;If nipples are uncensored, those who go topless are likely to be those whose nipples already happen to fit the narrow standard currently shown in popular culture and the media. This could work to exacerbate current harmful beauty ideals rather than unravelling them.;['0', '0', '2', '0', '0']; 10;4
106;1.2.2.4.1.1;pro;Exposure of nipples in Hollywood tends to only show those that are deemed acceptable and visually pleasing.;['0', '0', '2', '0', '0']; ;5
107;1.2.2.4.1.2;con;Increasingly, these narrow beauty standards are being publicly challenged by well-known figures in popular culture, so they are unlikely to last.;['0', '0', '2', '0', '0']; ;5
108;1.2.2.4.2;pro;According to a Dove social media study, 82 percent of women feel that the standards of beauty set by social media are 'unrealistic'.;['1', '2', '6', '6', '0']; 1;4
109;1.2.2.4.3;con;This is an argument in favour of challenging unrealistic beauty standards so as to solve the root problem, rather than simply continuing to censor nipples.;['0', '0', '1', '1', '0']; ;4
110;1.2.2.4.3.1;pro;"Many women already worry about whether the size, shape, and colour of their nipples fit into what is considered ""normal"" by society, suggesting that harmful beauty ideals surrounding nipples are already rampant. Uncensoring them would be the easiest way to correct this.";['0', '0', '0', '0', '0']; 6;5
111;1.2.2.4.4;con;Uncensoring female nipples may promote body positivity - which is highly beneficial to physical and mental wellbeing - throughout society.;['0', '0', '1', '1', '0']; 3;4
112;1.2.2.4.4.1;pro;Studies have shown that exposure to edited and curated photos of celebrities and influencers online can be incredibly harmful to body image. Exposing society to the diversity of 'real-life' bodies via public nipple-showing may counteract this effect.;['0', '0', '1', '1', '0']; 9;5
113;1.2.2.4.4.2;pro;A 2017 study indicates that being able to see other people's uncovered bodies has a significant positive effect on one's own body image (p. 677).;['0', '0', '1', '1', '0']; ;5
114;1.2.2.4.4.3;con;The concept of body positivity has its roots in the Fat Rights Movement and the celebration of the most marginalised bodies within society. The influence of uncensoring nipples on these causes is likely to be negligible.;['0', '0', '1', '1', '0']; ;5
115;1.2.3;pro;Censoring nipples can have negative health implications for those who are female-presenting or who have visibly female breasts/nipples.;['0', '0', '2', '0', '0']; 3;2
116;1.2.3.1;pro;Censoring nipples has led to a lack of nipple education, meaning many women either miss or catastrophise possible health problems relating to the nipple.;['0', '1', '1', '0', '0']; 5;3
117;1.2.3.1.1;pro;Many women are either unnecessarily panicked or confused about many benign health issues relating to the nipples simply because they have not been made aware of them before.;['0', '0', '2', '0', '0']; ;4
118;1.2.3.1.2;con;Many organisations have found effective ways to raise awareness and educate the public without showing female nipples.;['0', '0', '2', '0', '0']; ;4
119;1.2.3.1.2.1;pro;A breast cancer organization in Argentina used a man's chest to teach the public how to check breasts for early cancer detection.;['0', '0', '1', '1', '0']; ;5
120;1.2.3.1.2.2;con;While it is possible to work around censorship policies, it remains more accurate and thus more effective to use female anatomy when disseminating educational messages surrounding health issues that disproportionately affect biologically female people.;['0', '0', '2', '0', '0']; 4;5
121;1.2.3.2;pro;Social media nipple restrictions have been criticised for stifling the conversation surrounding women's health choices and female empowerment during labour and childbirth.;['0', '0', '1', '1', '0']; 2;3
122;1.2.3.2.1;pro;Many breast cancer survivors feel their post-mastectomy bodies are stigmatized. Normalizing female-presenting people showing their chests publicly would likely raise awareness and reduce the stigma by showcasing a more diverse range of bodies than what is encompassed by traditional beauty norms.;['0', '0', '1', '1', '0']; 7;4
123;1.2.3.2.1.1;pro;Breast cancer survivors often have photos of their post-mastectomy bodies censored by social media sites.;['0', '0', '1', '1', '0']; 11;5
124;1.2.3.2.1.1.1;pro;Censoring cancer survivors - who use these images to improve their body image and empower themselves - sends a message that their bodies are wrong or unlawful, which can cause psychological harm.;['0', '0', '1', '1', '0']; ;6
125;1.2.3.2.1.2;con;Even if public stigma surrounding breast cancer and mastectomy is reduced, some survivors may feel unable to expose themselves in public due to lingering self-stigma (p. 146).;['0', '6', '8', '1', '0']; 5;5
126;1.2.3.2.3;con;In restricting posts containing nipples, social media companies have in fact further fuelled the coverage and discussion of this issue in traditional media.;['0', '0', '2', '0', '0']; ;4
127;1.2.3.3;pro;Nipple censorship often requires people to wear a bra, to prevent their nipples from being visible through clothing. Bras are detrimental to the health of some people.;['0', '0', '2', '0', '0']; ;3
128;1.2.3.3.1;pro;According to some research, wearing a bra can cause increased sweating and irritation, the weakening of certain muscles, and reduced blood circulation in the midsection and ribcage.;['0', '0', '2', '0', '0']; ;4
129;1.2.3.3.2;con;For those with larger breasts, bras offer essential support during physical activity that could otherwise lead to poor posture and chronic back, neck, and shoulder pain (p. 1).;['0', '0', '1', '1', '0']; 1;4
130;1.2.3.4;pro;Censoring female nipples can be harmful to the mental health of those who identify, or else are labelled, as female.;['0', '0', '2', '0', '0']; ;3
131;1.2.3.4.1;pro;Gender-based nipple restrictions often misgender transgender and genderfluid people whose breast tissue or general physical appearance is labelled as belonging to a gender that they do not identify with, which can be harmful to their mental health.;['0', '0', '0', '0', '0']; 4;4
132;1.2.3.4.1.1;pro;Transgender women have voiced their confusion and feelings of conflict at knowing that their nipples are rarely censored by social media unless they undergo gender affirming surgeries, despite them identifying as women long before any surgical procedure they may have.;['0', '0', '1', '1', '0']; ;5
133;1.2.3.4.1.1.1;pro;"A transgender woman posting pictures of her chest on social media - to see if she would be considered ""female enough"" for the posts to be removed - found that her nipples were predominantly left uncensored, even when reported to social media platforms for breaching their female nudity policies.";['0', '0', '1', '1', '0']; 1;6
134;1.2.3.4.2;pro;Restricting nipple showing only further reinforces society's sexualization of the female form, something that is widely acknowledged to be detrimental to the mental health of female-presenting people.;['0', '0', '2', '0', '0']; ;4
135;1.2.3.4.2.1;pro;Societal sexualisation of the female form fuels its excessive objectification, which research has shown leads to those with female-presenting bodies feeling shame, anxiety, embarrassment, and body dissatisfaction.;['0', '0', '2', '0', '0']; ;5
136;1.2.3.4.3;con;Gender-based nipple restrictions have been a feature in society for many years and across much of history. As such, they are unlikely to be a major contributor to mental health issues.;['0', '1', '1', '0', '0']; ;4
137;1.2.3.6;con;Across a number of cultures, modesty concerns form a common barrier to female-presenting people accessing healthcare. The primary focus should thus be on designing treatments and health campaigns that work with extant modesty norms (p. 443).;['0', '0', '2', '0', '0']; 3;3
138;1.2.3.6.1;pro;Researchers note that modesty and privacy concerns are some of the key barriers to Muslim women accessing healthcare, but healthcare professionals can significantly improve access by raising awareness of such obstacles and developing strategies to accommodate their preferences while caring for them.;['0', '0', '2', '0', '0']; ;4
139;1.2.3.6.2;con;While it will always be important to make reasonable adjustments in healthcare for those who prefer modesty, doing so need not come at the expense of those whose health is harmed by censorship.;['0', '0', '2', '0', '0']; ;4
140;1.2.4;con;The most marginalised women in society are often left unrepresented and alienated by the 'Free The Nipple' movement.;['0', '0', '1', '1', '0']; 11;2
