;Level;Stance;Claim;Votes;Comments;Depth
141;1.2.4.1;pro;Black women's bodies are particularly hypersexualised (p. 8) yet brutalised by law enforcement (p. 41, pp. 43-44). The current 'Free The Nipple' movement fails to acknowledge this racial disparity and therefore to be as accessible, safe, and empowering for Black women to participate in (p. 11).;['0', '0', '1', '1', '0']; 6;3
142;1.2.4.2;pro;The feminist group Femen have been criticised for staging pro-nipple showing protests that used Islamophobic imagery and language.;['0', '3', '9', '2', '0']; ;3
143;1.2.4.3;con;It is better to have an imperfect movement that liberates some women than to have no movement and thus no change to the liberation of women at all.;['0', '2', '8', '5', '1']; 10;3
144;1.2.5;con;Uncensoring nipples may create a trend and expectation for female-presenting people to show their nipples in public, which may feel oppressive to some.;['0', '1', '2', '0', '0']; 2;2
145;1.2.5.1;pro;If nipple exposure became mainstream, female-presenting people could feel pressured into exposing their nipples so as to avoid the negative social sanctions associated with non-conformity, even if this would go against their personal beliefs.;['1', '0', '1', '0', '0']; ;3
146;1.2.5.2;pro;This study found that 70% of women were dissatisfied with their own breasts. This suggests that many female-presenting people would feel uncomfortable should nipple-showing become a social expectation.;['0', '1', '1', '0', '0']; 5;3
147;1.2.5.3;pro;For some, dressing modestly makes them feel liberated from the objectifying male gaze, so to uncover themselves would feel oppressive.;['0', '0', '2', '0', '0']; ;3
148;1.2.5.4;pro;A societal shift towards uncovering female-presenting bodies may encourage the shaming of those whose religion or culture preaches modesty.;['0', '0', '2', '0', '0']; 2;3
149;1.2.5.5;con;Removing restrictions on nipple showing does not prevent women from dressing modestly. Conversely, however, keeping restrictions in place prevents women who would find nipple-showing liberating from going topless.;['0', '0', '1', '1', '0']; 3;3
150;1.2.5.5.1;pro;In most modern, developed countries, where female-presenting people dress in a variety of styles - some of which can be revealing - individuals are not prevented from dressing modestly if they choose to do so.;['0', '0', '2', '0', '0']; 4;4
151;1.2.5.5.2;pro;The 'Free The Nipple' movement, according to its founder, is about female-presenting people having the choice, rather than idealising the notion of everyone being topless.;['0', '0', '1', '0', '1']; ;4
152;1.2.5.5.3;con;Uncensoring nipples could fuel the current pattern of coercing women of colour who prefer to dress modestly into wearing less.;['0', '0', '1', '1', '0']; ;4
153;1.2.5.5.3.1;pro;The 'Free The Nipple' campaign centers itself on the idea that bearing one's chest is a form of feminist liberation. Uncensoring nipples may therefore encourage the inaccurate idea that covering up is necessarily a form of sexist oppression.;['0', '0', '1', '1', '0']; 4;5
154;1.3;con;Restricting nipple showing protects female-presenting people from unwanted sexual harassment.;['74', '35', '20', '16', '22']; 17;1
155;1.3.1;pro;Female-presenting nipples are more sexualised than male-presenting ones, so are more vulnerable to being the objects of unwanted sexual harassment.;['0', '0', '1', '1', '1']; 8;2
156;1.3.1.1;pro;Men have a heightened response to visual sexual stimuli. As long as female nipples continue to be considered sexual stimuli, restricting their exposure is thus a protective measure against inevitable biological responses in men.;['0', '0', '1', '1', '0']; 9;3
157;1.3.1.1.1;pro;A brain-scan study indicated that when heterosexual men are shown photos of scantily clad women, the region of the brain associated with tool use is activated. This suggests that, the fewer clothes women wear, the more likely heterosexual men are to entirely objectify them at the cognitive level.;['0', '0', '2', '0', '0']; ;4
158;1.3.1.1.1.1;con;A correlation between sexism and objectification does not imply an instinctive characteristic: sexism is socially taught, which suggests that the male response to the female form is not biologically innate, and thus can be changed.;['0', '0', '1', '1', '0']; 5;5
159;1.3.1.1.2;con;If this were the case, it would follow that men's nipples should also be censored as a protective measure against inevitable biological responses in homosexual men.;['0', '0', '2', '0', '0']; ;4
160;1.3.1.1.2.1;pro;Studies indicate that homosexual men may value physical appearance more than heterosexual men, and find upper-body muscularity highly desirable (p. 2).;['0', '0', '2', '0', '0']; ;5
161;1.3.1.2;pro;Female hormones cause enlarged breast tissue in anatomically female people. Since breast tissue is sexualised, this has led to a sexualisation-by-association of the female nipple.;['0', '0', '2', '0', '0']; 3;3
162;1.3.1.2.1;pro;Neuroscientists studying sexual internet searches found that breasts were the most popular body part in all the countries they looked at, which supports that female nipples are a sexual trigger.;['0', '0', '1', '1', '0']; ;4
163;1.3.1.2.2;pro;The nubility hypothesis proposes that since the majority of female breast tissue is not used to produce milk, it evolved solely to function as a sexual signal of reproductive value to men. This supports that breast tissue is sexually attractive to men at a biological level.;['0', '0', '1', '1', '0']; 4;4
164;1.3.1.2.3;con;Men often have enlarged breast tissue due to either gynecomastia or obesity, yet their nipples remain uncensored.;['0', '2', '4', '9', '1']; 3;4
165;1.3.1.2.3.1;con;A photo of a cisgender man with gynecomastia was censored by Spanish media.;['0', '0', '2', '0', '0']; ;5
166;1.3.1.2.3.2;con;Enlarged breast tissue in men has not evolved so as to be sexually appealing, hence why their nipples are uncensored.;['0', '0', '1', '1', '1']; ;5
167;1.3.1.3;pro;At some 'Free The Nipple' public protests, topless female-presenting people have found themselves objectified and sexualised by men.;['0', '0', '2', '0', '0']; 15;3
168;1.3.1.3.1;pro;"Dozens of women protesting topless in Argentina were joined by many ""male gawkers"".";['0', '3', '9', '4', '0']; ;4
169;1.3.1.3.1.1;con;Protests - even if they included male gawkers - raised awareness about the issue in Argentina and propelled actual change: a judge ruled that laws regarding public indecency were unconstitutional and should be overturned.;['0', '0', '10', '3', '0']; 7;5
170;1.3.1.3.1.2;con;The weight of the political point being made by these topless protests - which followed an incident where up to 20 police had threatened to arrest 3 women for sunbathing topless at a beach - arguably outweighed the risk of them becoming an objectified spectacle to some onlookers.;['0', '0', '1', '1', '0']; 8;5
171;1.3.1.3.2;pro;Protesters at a 'Free The Nipple' event in New York were outnumbered by spectators and members of the press taking photographs.;['0', '0', '1', '1', '0']; ;4
172;1.3.1.4;con;Close up, it is often very difficult to identify whether a nipple is male or female.;['0', '0', '1', '1', '0']; ;3
173;1.3.1.4.1;pro;Instagram removed an image of a perceived female nipple that was later revealed to be a male nipple, proving that male and female nipples are often indistinguishable.;['0', '0', '1', '1', '0']; 1;4
174;1.3.1.4.2;con;While the core of the issue is indeed specific to the nipple, the taboo nature of a particular nipple is established based on whether it is attached to a male chest or a female breast. As such, 'unattached', genderless nipples viewed in isolation of their owner's chest are somewhat irrelevant.;['1', '0', '2', '0', '2']; ;4
175;1.3.1.5;con;The sexualisation of certain body parts, including the female breast and nipple, is socially constructed. This suggests that it is wholly possible to alter and decrease the sexualisation of these body parts;['0', '0', '1', '1', '0']; ;3
176;1.3.1.5.1;pro;There is evidence that, in many cultures that now see exposed nipples as sexual taboo, it was once acceptable or even preferable to show them in public for non-sexual reasons. This suggests that the currently sexual connotations of nipple exposure are entirely culturally determined.;['0', '0', '1', '1', '0']; 12;4
177;1.3.1.5.1.1;pro;In the Tudor era, it was fashionable for ladies of a higher social class to show one breast, both in court and in portraiture (pp. 44-45).;['0', '3', '4', '8', '0']; ;5
178;1.3.1.5.1.1.1;pro;Exposed breasts were also seen as a way to express one's maiden status and, when depicted in images, to portray a woman as motherly (p. 44).;['0', '0', '2', '0', '0']; 2;6
179;1.3.1.5.1.1.2;con;There were campaigners in Tudor times who expressed disapproval at clothing that exposed female nipples on grounds of this being a display of sexual availability (p. 90).;['0', '0', '1', '1', '0']; 17;6
180;1.3.1.5.1.2;pro;Toplessness was customary in many cultures until the rise of monotheistic religion, which has often been used for social control (p. 336).;['0', '0', '2', '0', '0']; 1;5
181;1.3.1.5.1.2.1;pro;In traditional societies in North America, Africa, Australia, the Pacific Islands, and various parts of Asia, toplessness was customary until the expansion of Christianity and Islam.;['0', '0', '1', '1', '1']; 1;6
182;1.3.1.5.1.2.2;con;In China, the taboo nature of public nudity is rooted in an ancient tradition of Confucian rectitude.;['0', '0', '2', '0', '0']; 2;6
183;1.3.1.5.1.3;pro;From the late 19th century to the middle of the 20th century, it was common for some Korean women to wear a breast-exposing Hanbok (or breast-exposing Jeogori) in public.;['0', '1', '6', '9', '0']; 10;5
184;1.3.1.5.1.4;con;The various artistic impressions of breasts throughout history that suggest nipple exposure was once an accepted norm in Western society are largely thought to be exaggerations.;['0', '0', '2', '0', '0']; ;5
185;1.3.1.5.3;pro;Research suggests that the media's hypersexualisation of female-presenting bodies heavily influences the corresponding sexualisation of female-presenting people by society, inferring therein that without the media's cultural influence, this sexualisation may not exist.;['0', '0', '2', '0', '0']; ;4
186;1.3.1.5.4;pro;A 1951 study of 191 cultures found that breasts were considered sexually important to men in only 13 of the cultures.;['0', '0', '1', '1', '0']; 3;4
187;1.3.1.5.4.1;pro;Cultural anthropologists found that men in Mali were “bemused or horrified” at the perspective of sexual foreplay involving breasts.;['0', '0', '1', '1', '0']; ;5
188;1.3.1.5.4.2;pro;In some indigenous communities in Africa, for example, women are often publically bare-chested and their breasts are not considered sexual.;['0', '0', '2', '0', '0']; ;5
189;1.3.1.5.5;con;Biologically female nipples are considered erogenous zones, since their stimulation creates a similar neurological and hormonal response to other forms of sexual stimulation.;['0', '0', '2', '0', '0']; ;4
190;1.3.1.5.5.1;pro;This study found that in 301 subjects, 82% of women but only 52% of men found stimulation of nipples/breasts to increase arousal, pointing to nipples being biologically more important to female sexuality.;['0', '0', '2', '0', '0']; ;5
191;1.3.1.5.5.1.1;con;An individual enjoying a particular part of their body being touched doesn't necessarily indicate that it is harmful for others to see that part of their body.;['1', '0', '1', '1', '1']; ;6
192;1.3.1.5.5.2;pro;Some women can orgasm with only breast stimulation.;['1', '1', '1', '0', '0']; 2;5
193;1.3.1.5.5.2.1;con;There is anecdotal evidence of men also reaching orgasm through nipple stimulation alone.;['0', '0', '2', '0', '0']; 3;6
194;1.3.1.5.5.3;con;There are other erogenous zones on the human body, such as the lips, neck, earlobes, sacrum, abdomen, feet, and navel. None of these body parts are censored.;['0', '0', '1', '1', '0']; 2;5
195;1.3.1.5.5.3.1;pro;Men have a relatively higher concentration of nerve endings in the soles of their feet than women do, so pressing on the acupressure points in men's feet can facilitate sexual arousal. By this logic, men's feet should be censored.;['0', '0', '2', '0', '0']; ;6
196;1.3.1.5.5.3.2;con;The location and daily use of lips makes the possibility of their nationwide censorship too impractical to be compared to the censorship of nipples.;['0', '0', '0', '0', '0']; 3;6
197;1.3.1.5.5.4;con;Since stimulation of male nipples can activate the same parts of the brain as stimulation of female nipples, they should not be considered any less erogenous or sexual.;['0', '0', '1', '1', '0']; 3;5
198;1.3.1.5.5.5;con;Oxytocin - a hormone released during sexual stimulation - is intrinsically linked to many other physiological processes (p. 8). This suggests it is not purely a response to sexual stimuli.;['0', '0', '1', '1', '0']; 4;5
199;1.3.1.5.5.5.1;pro;The release of oxytocin from nipple stimulation is also intended to facilitate flow to breastmilk from the milk glands to the nipple, and to increase the bond between mother and baby, and so is not purely for sexual arousal (p. 11).;['0', '0', '1', '1', '0']; 2;6
200;1.3.1.7;con;Men's breasts are no less sexualized than women's: many women are aroused by a man's pectoral muscles.;['0', '0', '2', '0', '0']; 7;3
201;1.3.1.7.1;con;Given a parity of sexualisation, visible female presenting nipples may be more likely to solicit unwanted sexual harassment due to the relative social status of men and women.;['0', '0', '0', '0', '0']; 5;4
202;1.3.2;pro;If restrictions on nipple showing are eliminated for female-presenting people, this could lead to a corresponding elimination of the sociolegal rights and protections currently afforded to their chest and nipples in the event of a sexual assault.;['7', '2', '5', '9', '9']; 11;2
203;1.3.2.1;pro;Nipple-showing may exacerbate victim-blaming in cases of sexual harassment and assault against women.;['0', '0', '1', '1', '0']; 2;3
204;1.3.2.1.1;pro;Society is more likely to place partial or full responsibility on female victims for their own assaults if they were dressed in a way that could be considered 'provocative' at the time of their assault.;['0', '0', '1', '1', '0']; ;4
205;1.3.2.1.1.1;pro;According to an Amnesty International survey, 26% of UK-based respondents believed that a woman is partially or totally responsible for being raped if she dresses provocatively.;['0', '0', '1', '1', '0']; 5;5
206;1.3.2.1.1.2;pro;Over half of all male respondents to a 2019 UK-based survey agreed that women who wear more revealing clothes are more likely to be sexually harassed or assaulted.;['0', '0', '1', '1', '0']; ;5
207;1.3.2.1.2;pro;A woman's clothing is often used as evidence in court trials. This implies that, from a legal standpoint, what a victim was wearing is seen as a possible contributing factor to their own sexual assault.;['0', '0', '2', '0', '0']; 2;4
208;1.3.2.1.2.1;pro;One judge once remarked that, while she thought it shouldn't be the case, men who sexually attack women are more inclined to take advantage of those who are more vulnerable, such as those wearing more provocative clothing.;['0', '1', '1', '0', '0']; ;5
209;1.3.2.1.2.2;con;Charities and researchers in the field are campaigning for new judiciary guidelines that limit the use of a victim's clothing as evidence against their sexual assault (p. 392), indicating that it may soon cease to be a common practice in court trials.;['0', '0', '1', '1', '0']; ;5
210;1.3.2.1.3;con;Victim-blaming in cases of sexual assault is now usually widely condemned where it is identified in institutionalised settings. As such, nipple-showing would likely have little effect on this renounced phenomenon.;['0', '1', '1', '0', '0']; ;4
211;1.3.2.1.3.1;pro;The Egyptian media defended a victim of mob sexual assault, who was said by a Salafi preacher to be partially at fault due to her 'provocative' dress.;['0', '0', '2', '0', '0']; ;5
212;1.3.2.1.3.2;pro;When the Pakistani Prime Minister implied that victim indecency was the cause of a surge in rape cases, this was met with widespread criticism.;['0', '0', '2', '0', '0']; ;5
213;1.3.2.1.3.3;con;While victim-blaming does tend to be denounced where it is publicly identified, research indicates that it is a highly common phenomenon, such that the total proportion of cases where victims were blamed but then rebolstered by public outcry is likely very small, and so the problem still persists.;['0', '0', '1', '1', '0']; ;5
214;1.3.2.1.4;con;That isn't an argument for keeping female nipples censored, but rather for changing socially constructed views so that the phenomenon of victim-blaming based on bodily exposure ceases to exist.;['0', '0', '1', '1', '0']; 1;4
215;1.3.2.2;pro;In France, where topless sunbathing is relatively common, conviction rates for verbal, physical, and sexual offences at the beach are low.;['0', '0', '2', '0', '0']; 2;3
216;1.3.2.3;con;Other parts of female-presenting bodies with the potential to be sexualised when exposed - such as lips, hips, and legs – are uncensored, yet they are no less legally protected in cases of sexual harassment.;['0', '0', '1', '1', '0']; 6;3
217;1.3.2.3.1;pro;A man was charged with sexual assault when he repeatedly rubbed the legs of a woman without her consent.;['0', '0', '1', '1', '0']; ;4
218;1.3.2.4;con;It is unlikely that nipple norms will have much impact on sexual assault investigations because these investigations are rarely conducted, prosecuted, or enforced despite censorship.;['0', '0', '1', '1', '0']; ;3
219;1.3.2.4.1;pro;Statistics indicate that, in the US, the majority of rape allegations are not properly investigated by the authorities.;['0', '0', '1', '1', '0']; ;4
220;1.3.2.5;con;The definition of sexual assault also includes the inappropriate, non-consensual touching of male-presenting people, whose nipples are not censored.;['0', '0', '1', '1', '1']; 4;3
221;1.3.2.5.1;pro;According to the US Equal Employment Opportunity Commission (EEOC), sexual harassment can include sexual comments, unwelcome sexual advancements, or offensive remarks made by or about anyone of any sex or gender.;['0', '0', '1', '1', '0']; 2;4
222;1.3.3;con;Limiting the freedoms of women in the name of their protection is an example of benevolent sexism, which is net harmful towards women (p. 4).;['0', '0', '1', '1', '1']; 7;2
223;1.3.3.1;pro;Women showing their breasts and nipples are fully capable of judging the risks of receiving unwanted attention and consequently addressing such attention on their own.;['0', '1', '1', '0', '0']; ;3
224;1.3.3.2;pro;Benevolent sexism has been shown to have a negative impact on women's well-being and career success.;['0', '0', '2', '0', '0']; ;3
225;1.3.3.3;con;Studies show that many women endorse benevolent sexism as a protective force against hostile sexism.;['0', '1', '1', '0', '0']; ;3
226;1.3.4;con;Restricting nipple showing is ineffective against sexual harassment. There are many more effective ways to protect women from unwanted sexual harassment.;['0', '0', '1', '0', '1']; 1;2
227;1.3.4.1;pro;Research suggests that sexual harassment training programmes in the workplace can increase the ability of employees, particularly men, to identify sexually harassing behaviour. This could work to reduce the incidence of such behaviour in society as a whole.;['0', '0', '1', '1', '0']; ;3
228;1.3.4.1.1;con;Research suggests that sexual harassment training may actually make men less capable of noticing when inappropriate behaviour occurs.;['0', '0', '2', '0', '0']; ;4
229;1.3.4.2;pro;Educating schoolchildren about consent and rape culture would be much more effective in solving the root causes of harassment and assault against female-presenting people.;['0', '0', '1', '1', '0']; ;3
230;1.3.4.2.1;pro;Recent surveys indicate that less than a third of US adults were educated on sexual consent or assault while at school, and even fewer were taught how to ask for sexual consent. This indicates a lack of vital early education on these issues.;['0', '0', '1', '1', '0']; ;4
231;1.3.4.2.1.1;pro;Since children can adapt to new ways of thinking more easily than adults, challenging and changing problematic views surrounding consent and rape from a young age would likely be key in drastically reducing the number of adults who commit or fall prey to sexual assault and harassment.;['0', '0', '1', '1', '0']; 3;5
232;1.3.4.2.2;pro;Programmes around the world that have been designed to educate school-age boys and young men on issues of sexual harassment have all been proven to increase recognition of abusive behaviour and reduce instances of sexual violence perpetration.;['0', '0', '1', '1', '0']; ;4
233;1.3.4.2.2.1;pro;After completing an educational programme surrounding rape culture in Kenya, it was found that schoolboys were significantly more likely to intervene if witnessing sexual assault and less likely to hold inaccurate views of rape, while schoolgirls reported far fewer rapes.;['0', '0', '1', '1', '0']; ;5
234;1.3.4.2.3;con;Some teachers note that schoolchildren are often apathetic to attempts to change problematic views they have on rape culture, suggesting they may lack the maturity required to be effectively educated on such issues at such a young age.;['0', '1', '1', '0', '0']; ;4
235;1.3.4.3;pro;There is no evidence that what victims of sexual assault were wearing at the time of their assault had any bearing on its occurrence, suggesting that the censorship of women's nipples is irrelevant in this context.;['0', '0', '1', '0', '1']; 3;3
236;1.3.4.3.1;pro;Statistics suggest that sexual violence against women is often more prevalent in countries where women are more likely to wear more conservative clothing.;['0', '0', '1', '1', '0']; 5;4
237;1.3.4.3.1.1;pro;South Africa, a sexually conservative country, has the highest occurrence of rape in the world.;['1', '1', '7', '5', '2']; 3;5
238;1.3.4.3.1.2;pro;In Middle Eastern and South Asian societies, where many women are expected to dress extremely conservatively, cases of rape, sexual assault, and sexual harassment against women are high.;['0', '0', '2', '0', '0']; 5;5
239;1.3.4.3.1.2.1;pro;99.3% of all Egyptian women have experienced some form of sexual assault.;['0', '0', '1', '1', '0']; ;6
240;1.3.4.3.1.2.2;pro;Nearly 80% of women in India have experienced sexual harassment or assault in the street.;['0', '0', '1', '1', '0']; 7;6
241;1.3.4.3.1.3;con;Many countries that are considered liberal have high rates of rape and other sexual assaults.;['0', '0', '2', '0', '0']; ;5
242;1.3.4.3.1.3.1;pro;Sweden and Denmark, both countries known to be 'sexually liberal', have the highest number of sexual assaults in Europe.;['0', '1', '1', '0', '0']; ;6
243;1.3.4.3.1.3.1.1;con;Sweden's high rate of rape is largely due to the fact that they have redefined the definition of the crime to include acts that many other places in the world do not consider as rape.;['0', '0', '8', '6', '4']; ;7
244;1.3.4.3.1.3.2;pro;The US, which is considered a very liberal country, has a comparatively high occurrence of rape and sexual assault.;['0', '1', '1', '0', '0']; 15;6
245;1.3.4.3.1.3.2.1;pro;A nationwide 2019 study in the US found that 81% of women had experienced sexual harassment at some point in their lifetime.;['0', '0', '2', '0', '0']; ;7
246;1.3.4.3.1.3.2.2;pro;American women and girls still experience sexual violence at high rates: 1 out of every 6 American women has been the victim of an attempted or completed rape in her lifetime.;['1', '3', '7', '4', '0']; 4;7
247;1.3.4.3.1.3.3;con;Sexual assault may be less reported to law enforcement agencies in conservative countries than in liberal countries (p. 245). Since sexual assault statistics are generally gathered from such agencies, it is therefore likely that reported figures in more conservative countries are an inaccurate reflection of actual sexual assault rates.;['0', '0', '1', '1', '0']; 11;6
248;1.3.4.3.1.3.3.1;pro;In Saudi Arabia, there is no specific law criminalising rape, and female victims may themselves be incriminated if they were seen to be violating purdah during their encounter with the perpetrator. This may discourage victims from reporting cases of sexual assault.;['0', '0', '1', '1', '0']; ;7
249;1.3.4.3.1.4;con;Seven out of the ten countries with the highest rate of violence against women in the world are in Latin America, where human trafficking and organized crime seem to play a more significant role than dress.;['0', '5', '9', '1', '1']; 3;5
250;1.3.4.4;con;Since there is no contemporary precedent for a culture in which laws have changed from censoring to uncensoring female, it is impossible to say with certainty that restricting nipple showing is ineffective against sexual harassment.;['0', '0', '2', '0', '0']; ;3
251;1.3.4.5;con;If restricting nipple showing has any mitigating influence on sexual harassment at all, it makes sense to keep it alongside other strategies, even if other strategies are more effective.;['0', '0', '2', '0', '0']; 2;3
252;1.3.4.5.1;pro;A study carried out in Egypt found that, in 54.5% of cases, the focus of sexual harassment is a woman's breasts (p. 11). This suggests that nipple showing may exacerbate sexual harassment against female-presenting people, even if it is not the root cause.;['0', '0', '2', '0', '0']; 2;4
253;1.3.4.5.2;pro;Many female-presenting people believe that taking steps to cover up bodyparts, for example by wearing a hijab or veil, does have some protective effects against sexual harassment.;['0', '0', '2', '0', '0']; 5;4
254;1.3.4.5.3;con;Continuing to enforce nipple censorship laws on grounds of their minimally protective effects against sexual harassment could lead to institutional complacency, and thus a lack of drive to implement other more effective solutions.;['0', '0', '2', '0', '0']; 3;4
255;1.4;con;The public display of female nipples runs counter to the virtue of modesty taught by many cultures and religions practised in the US.;['106', '14', '3', '6', '20']; 16;1
256;1.4.1;pro;Traditionally, Jewish faith and culture - with which an estimated 5.3 million Americans identify - emphasises modesty in all clothing choices.;['0', '0', '2', '0', '0']; ;2
257;1.4.1.1;pro;Women in Haredi communities often follow a strict dress code in order to adhere to Jewish laws on modesty.;['0', '0', '2', '0', '0']; ;3
258;1.4.1.2;con;Progressive Judaism rejects literal interpretations of Jewish law and the Bible, verses from which form the basis of the religion's modesty culture.;['0', '0', '1', '1', '0']; ;3
259;1.4.1.2.1;pro;While also having public spaces that cater to its more traditional Jewish inhabitants, Israel also has a number of nudist beaches and festivals.;['0', '0', '2', '0', '0']; 3;4
260;1.4.1.3;con;The Jewish community is culturally diverse: not all Jews identify as religious, and many have highly liberal values.;['0', '0', '0', '0', '0']; ;3
261;1.4.2;pro;Female followers of Islam, which has around 3.45 million followers in the US, are expected to be modest in the way they dress and act.;['0', '1', '1', '0', '0']; ;2
262;1.4.2.1;pro;In Islam, women are encouraged to wear a headscarf as a form of hijab in order to show modesty.;['0', '0', '2', '0', '0']; 2;3
263;1.4.2.2;pro;In Islam, men and women should only view each other's naked bodies in the context of Nikah (marriage).;['0', '0', '1', '1', '0']; ;3
264;1.4.2.3;con;In the Quran, the practice of modesty is asked of men first, through the 'modest' lowering of their gaze. Islam may thus place greater importance on modest male behaviour than on the modest clothing choices of women.;['0', '0', '1', '1', '0']; ;3
265;1.4.2.4;con;Increasingly, Muslim women are choosing not to subscribe to this expectation.;['0', '1', '1', '0', '0']; ;3
266;1.4.3;pro;Christianity, a religion followed by 65% of Americans, considers nudity outside of sexual contexts to be sinful.;['26', '11', '4', '3', '1']; 2;2
267;1.4.3.1;pro;Some interpretations consider that nudity mainly appears in the Bible in sinful contexts, therefore Christians should not be nude in public.;['0', '0', '2', '0', '0']; ;3
268;1.4.3.1.1;con;Nudity in the Bible is only explicitly condemned when it is associated with a sinful act, breach of personal autonomy, or lack of basic clothing due to poverty. This suggests Christianity accepts nudity in other contexts.;['0', '0', '1', '1', '0']; 1;4
269;1.4.3.2;con;Evidence suggests that baptisms were performed naked in the early Christian church.;['0', '0', '0', '0', '0']; 4;3
270;1.4.3.2.1;con;It is unclear whether 'naked' baptisms would have meant that all clothing was removed, or that such baptisms would have been performed on women as well as men.;['0', '0', '1', '1', '0']; ;4
271;1.4.3.3;con;Christian naturist groups exist and believe the practice is compatible with their religious beliefs and with scriptural teachings.;['0', '0', '1', '1', '0']; ;3
272;1.4.4;con;Many countries with similar cultural values to the US permit female toplessness.;['0', '0', '2', '0', '0']; 1;2
273;1.4.4.1;pro;In Canada, it is legal for a woman to be topless in public without any covering, provided that the act of being topless is not intentionally indecent.;['0', '0', '2', '1', '0']; 9;3
274;1.4.4.1.1;pro;Alberta lifted restrictions on nipple coverings for performers in 2015.;['0', '0', '2', '0', '0']; ;4
275;1.4.4.1.2;con;In 2017 a woman filed a complaint with the Human Rights Tribunal in Ontario because she was not allowed to swim topless.;['0', '0', '2', '1', '0']; ;4
276;1.4.4.2;pro;Germany has a relaxed attitude towards nudity.;['0', '1', '1', '0', '0']; ;3
277;1.4.4.2.1;con;Germany's culture of nudity and body expression, Freikörperkultur, is uniquely German.;['0', '0', '2', '0', '0']; 1;4
278;1.4.4.3;pro;It is not illegal for a woman to go topless in the UK, provided that she does not do so in a way that is considered 'disorderly'.;['0', '0', '2', '0', '0']; 6;3
279;1.4.4.3.1;pro;Individuals whose intention is to go about their normal business, only nude, are unlikely to be prosecuted.;['0', '0', '1', '1', '0']; ;4
280;1.4.4.4;con;The US is still predominantly operating under Puritan values, where showing nipples is considered grossly inappropriate.;['0', '0', '2', '0', '0']; 11;3
281;1.4.4.4.1;pro;Puritan settlers in the US took the scriptures more literally than other Christian movements, resulting in a prudish mentality across the whole society.;['0', '4', '9', '1', '0']; ;4
282;1.4.5;con;Even if public nipple exposure clashes with cultural or religious values, it is not a government's place to act on this.;['1', '0', '1', '2', '5']; 3;2
283;1.4.5.1;pro;Many countries have secular governments, and so their national laws and policies are not influenced by religious ideologies.;['0', '0', '1', '1', '0']; ;3
284;1.4.5.1.1;pro;The separation of church and state is an important facet of culture and freedom in the US.;['0', '0', '2', '0', '0']; ;4
285;1.4.5.2;con;According to a 1981 UN Declaration, all governments have a duty to protect the religious freedoms of their citizens.;['0', '0', '1', '1', '0']; ;3
286;1.4.5.2.1;con;While the UN institutes the right to and protections of religious freedom, it also asserts that this only applies insofar as it does not infringe on others' liberties (p. 2).;['0', '0', '2', '0', '1']; ;4
